City,Latitude,Longitude,order
beijing,36.09174975,116.807947,0
jisa hural,46.1666667,109.05,1
bapuh,-7.0621,112.5174,2
heikairi,36.727211,129.44056799999998,3
kerte,48.536555500000006,21.557292,4
jiet,45.416667,23.433332999999998,5
wan kao-hsenhan,20.8333333,99.2,6
kisalizi,0.41287036666666665,31.55425923333333,7
ambalahasina,-17.9111111,48.68333336666668,8
oerip,34.552778,126.410556,9
hacienda malo,-2.9833333,-79.0166667,10
rafal,38.104214,-0.8492139999999999,11
wuro mbulmbuldi,9.25,12.883333,12
muyangwa,-14.083333300000001,22.9333333,13
dinga samba chagi,12.55,-13.95,14
canada prieto,18.8166667,-68.95,15
laguna del majahual,18.65,-95.333333,16
sint pankras,52.664547999999996,4.788253,17
izhog,38.1833333,71.6333333,18
wa salai,-3.7443400000000002,126.97205600000001,19
n'chirat,32.593823,-9.014648,20
fairvalley,36.735555600000005,-99.0241667,21
kafr abu yunis,30.7083333,31.5422222,22
divris,37.85,21.8,23
altrosenthal,52.55,14.283332999999999,24
hoden,44.166666500000005,71.60000000000001,25
tsepelskiye polyany,60.220691,58.595704000000005,26
umumi,11.175201,4.492959,27
balcha,42.416667000000004,94.108333,28
flanitz,49.0,13.266667000000002,29
koyatrogbepleu,7.239096000000001,-8.202084,30
sakhamun,28.8086,66.6073,31
cannarias,-2.766944,-41.850833,32
diassardou,9.45,-10.083333300000001,33
kisamba-lubilash,-7.35,24.03333315,34
cestres,47.434284999999996,4.798929,35
mbrakull,40.6291667,20.0666667,36
carabaoan,15.6129,120.3604,37
fiorentino,43.9,12.45,38
mezomenes,46.633333,24.483333,39
haringari,22.35,89.0666667,40
mamizdin,36.7916667,43.235555600000005,41
aukpon,20.466666699999998,94.25,42
macarizagua,10.35,-66.8833333,43
ca na,11.333333,108.9,44
tepochic,27.45,-107.8,45
bostick,33.1595833,-87.3797222,46
monte 'arrouit,35.011846000000006,-3.0045330000000003,47
lyubov truda,54.4988,51.1184,48
heikkisenniva,65.65,29.166666999999997,49
bachzimmern,47.95,8.7,50
musoejeomgol,38.091111,128.055833,51
san juan y martinez,22.2802778,-83.8383333,52
yachuan,31.971805500000002,105.73458299999999,53
barium springs,35.718888899999996,-80.8983333,54
yungtai,28.977662940000005,113.75332934000001,55
villa inferno,44.233333,12.316667,56
bavay,50.298052,3.796155,57
mamkodi,41.8319444,44.8633333,58
teal phlos,12.3,106.03333329999998,59
glovertown,48.666667,-54.05,60
volyntsev,56.6539,30.1436,61
chenchiachien,33.190417,114.220417,62
busat,31.1647222,31.431944399999995,63
jurumah,27.049332,40.911695,64
storozhevo,55.114313333333335,38.142327333333334,65
geisill,53.23527779999999,-7.32,66
ban sung charoen,13.628472,101.563917,67
habib-e reza veus,34.488056,45.912222,68
rislagden,63.416667000000004,13.366667000000001,69
ta ke,20.8,106.7,70
kom ishu,31.1075,30.0216667,71
lithokhorion,40.0940278,23.1025,72
barshi,43.050277799999996,42.5241667,73
gawanan,-6.5341,111.0485,74
sojtor,46.673543,16.853856,75
rysevka,54.0329,51.0863,76
poulani,1.3269444,15.8361111,77
kousoulabou,12.55,2.9166667,78
mirzewala,31.167222,74.306944,79
pangungni,39.851388899999996,124.49472220000001,80
palaiyadithona,7.85,81.5666667,81
grauen,53.1,9.666667,82
risman,32.741484,48.488944000000004,83
hobbensen,52.333333,9.15,84
ueterlande,53.483332999999995,8.55,85
caherbarnagh,51.950416649999994,-9.662361099999998,86
kulbayevo,54.161708,53.46393199999999,87
vadul negrilesei,47.383333,25.85,88
doucy,45.501439000000005,6.471261,89
qol-e shadan,33.469722,68.140556,90
ban pa se pu tae,6.3685279999999995,101.657472,91
allpacoma,-16.533333300000002,-68.15,92
tianamboul,9.683333300000001,0.45,93
cholmal,37.169722,127.3065275,94
rukshany,55.1,23.3166667,95
bushes landing,43.7775,-75.4094444,96
vershinskaya,57.3594,70.1131,97
panguragan-wetan,-6.626944,108.450833,98
zirmeh,35.230740999999995,58.981989,99
kalapatua,23.9833333,90.6,100
kiriat arieh,32.083333,34.883333,101
radviliskio,56.106527799999995,24.151944450000002,102
jiupang,28.021363,120.96378999999999,103
hodges gap,36.2069444,-81.7008333,104
sofiewka,48.049273,33.874621000000005,105
chenchiakoucha,39.016667,110.433333,106
divullewa,8.2,80.575,107
pabbarung,-5.2057,119.9277,108
lhota u pecky,50.481207,15.623222,109
`ezbet yusri,31.35,31.483333299999998,110
el blancal,3.1741330000000003,-76.279234,111
sitio onofre rodrigues,-23.895039999999998,-50.005146999999994,112
dingame,7.2275,-8.935555599999999,113
jazayer,34.0666667,35.6666667,114
urpene,6.725816,6.120311,115
pattambi,10.816667,76.2,116
haro,26.4468897,32.5116187,117
anettu,61.416667000000004,26.4,118
alybeyli,39.627565000000004,46.9490725,119
koussalo,13.85,-4.15,120
hupana,-15.643333300000002,-71.67277779999999,121
ban tha fuang,9.066667,99.533333,122
fengheping,29.869278,111.06518999999999,123
voykovitsy,49.783333,23.233333,124
qezel,35.74658875,58.960640250000004,125
shamukheyl',32.666667,69.254722,126
lessegoudou,5.494116,-5.273296,127
mont-edard,49.741679,0.615708,128
smedamala,56.316667,15.116667000000001,129
alstadten,50.883333,6.85,130
kisansa,-6.58333315,24.86666685,131
filotanya,48.016667,21.966667,132
kweso,-3.808604825,16.080430850000003,133
bontotapalang,-5.2561,120.28399999999999,134
zielona laka,51.879826,17.824419,135
erlenbrunn,49.166667,7.616667,136
krutilovka,53.536916000000005,34.8710945,137
el blarhma,31.624378000000004,-4.206411,138
azenha de cima,38.427058,-16.392309,139
namikango,-14.7,35.65,140
ney pareh,32.1582,49.2321,141
yoouda,6.491507,-5.5518540000000005,142
ruawa,-9.733333300000002,39.6166667,143
la mala hoja,13.683333300000001,-87.45,144
donghuishan,41.686890999999996,122.64108700000001,145
bakenshoek,-31.584582,26.409919,146
yamach k'oy,41.6666667,25.283333300000002,147
mustasaari,63.11666700000001,21.716667,148
vondarni-ye `olya,34.7826,47.038999999999994,149
bou naamane,33.18012065,-2.6040089999999996,150
ban suoi gioi,20.833333,105.05,151
vilyuneyskava kultbuza,62.166667000000004,175.25,152
ereng,-6.939722,107.13888899999999,153
divzand,35.1613,47.8474,154
la malagota,8.1833333,-81.58333329999999,155
kermerchou,48.655552,-3.7458910000000003,156
shiyakeran,38.593015,48.839908,157
carraskea,54.146111100000006,-7.250555599999999,158
deh-e pas qalat,29.974290000000003,51.575939,159
al mitraq,16.5361111,43.281111100000004,160
allpacoto hacienda,-10.883333300000002,-77.5333333,161
steinfeldsiedlung,47.6,14.5,162
ciwadzi,-13.433333300000001,33.3666667,163
